"","tbl","idx","stat"
"1","omdb","omdb_Year","12569 126"
"2","omdb","omdb_ID","12569 1"
"3","tomatoes","tomatoes_Rating","76430 850"
"4","tomatoes","tomatoes_Meter","76430 750"
"5","tomatoes","tomatoes_ID","76430 1"
